Name;URL;Primary Language;Created At;Repository Age;Amount of stars;Total amount of release(s);Total Source LOC;Total Line LOC;Total Blank LOC;Total Comments LOC;CBO;DIT;WMC
spring-projects/spring-mvc-showcase;https://github.com/spring-projects/spring-mvc-showcase;Java;03/06/2011 15:36;9;4903;0;121638789;136812985;13449290;3073876;5.0;1.0;4.0
amitshekhariitbhu/RxJava2-Android-Samples;https://github.com/amitshekhariitbhu/RxJava2-Android-Samples;Java;27/08/2016 08:21;4;4896;0;121644389;136820062;13450516;3074140;2.0;1.0;3.0
orhanobut/dialogplus;https://github.com/orhanobut/dialogplus;Java;12/12/2014 09:24;6;4878;9;121648232;136824905;13451285;3074385;3.0;1.0;2.0
Devlight/NavigationTabBar;https://github.com/Devlight/NavigationTabBar;Java;29/03/2016 08:59;4;4848;13;121652864;136830612;13452116;3074667;2.0;1.0;2.0
TommyLemon/Android-ZBLibrary;https://github.com/TommyLemon/Android-ZBLibrary;Java;20/08/2015 16:03;5;4845;25;121681270;136867167;13459988;3075126;3.0;1.0;3.0
claritylab/lucida;https://github.com/claritylab/lucida;Java;13/05/2014 17:12;6;4843;0;123057925;138580323;13585837;3348081;4.0;1.0;9.0
JesusFreke/smali;https://github.com/JesusFreke/smali;Java;23/09/2012 19:51;8;4843;1;123283581;138820182;13599309;3348779;4.0;1.0;4.0
yipianfengye/android-zxingLibrary;https://github.com/yipianfengye/android-zxingLibrary;Java;26/07/2016 08:00;4;4818;0;123288353;138826010;13600114;3349080;3.0;1.0;2.0
graphql-java/graphql-java;https://github.com/graphql-java/graphql-java;Java;06/07/2015 06:52;5;4811;34;123453703;139027507;13622547;3363345;6.0;1.0;5.0
wasabeef/Blurry;https://github.com/wasabeef/Blurry;Java;23/07/2015 14:12;5;4808;0;123455613;139030080;13622948;3363634;3.5;1.0;2.5
andkulikov/Transitions-Everywhere;https://github.com/andkulikov/Transitions-Everywhere;Java;15/10/2014 03:37;6;4804;23;123470991;139047429;13624736;3364133;5.0;1.0;3.0
etsy/AndroidStaggeredGrid;https://github.com/etsy/AndroidStaggeredGrid;Java;09/12/2013 19:43;7;4801;7;123476355;139054069;13625796;3364393;3.0;1.5;5.5
527515025/springBoot;https://github.com/527515025/springBoot;Java;07/11/2016 02:13;4;4800;0;123504034;139088376;13631499;3365667;4.0;1.0;3.0
micronaut-projects/micronaut-core;https://github.com/micronaut-projects/micronaut-core;Java;07/03/2018 12:05;3;4797;71;123836314;139486951;13684832;3379374;4.0;1.0;3.0
Ramotion/folding-cell-android;https://github.com/Ramotion/folding-cell-android;Java;01/04/2016 11:38;4;4795;0;123838997;139490411;13685328;3379681;2.0;1.0;1.0
kekingcn/kkFileView;https://github.com/kekingcn/kkFileView;Java;12/12/2017 11:41;3;4793;6;124641957;140440854;13768137;3544412;4.0;1.0;6.0
pentaho/pentaho-kettle;https://github.com/pentaho/pentaho-kettle;Java;08/10/2013 18:27;7;4789;1;126504700;142497866;13949211;3563684;2.0;1.0;2.0
gabrielemariotti/cardslib;https://github.com/gabrielemariotti/cardslib;Java;20/09/2013 21:57;7;4749;27;126578920;142587724;13964460;3565094;4.0;1.0;3.0
saiwu-bigkoo/Android-ConvenientBanner;https://github.com/saiwu-bigkoo/Android-ConvenientBanner;Java;23/12/2014 06:12;6;4733;0;126581255;142590692;13964846;3565360;3.0;1.0;3.0
pardom-zz/ActiveAndroid;https://github.com/pardom-zz/ActiveAndroid;Java;15/11/2012 18:10;8;4730;0;126586852;142597813;13966125;3565614;3.0;2.0;6.0
spring-projects/spring-petclinic;https://github.com/spring-projects/spring-petclinic;Java;09/01/2013 09:05;8;4730;0;126601080;142613095;13966908;3565904;5.0;1.0;3.0
google/cameraview;https://github.com/google/cameraview;Java;04/08/2016 05:22;4;4704;0;126606336;142619359;13967696;3566167;3.0;1.0;3.0
crazycodeboy/react-native-splash-screen;https://github.com/crazycodeboy/react-native-splash-screen;Java;14/09/2016 10:43;4;4702;11;126616024;142631229;13969094;3566547;2.5;1.0;3.0
rubensousa/GravitySnapHelper;https://github.com/rubensousa/GravitySnapHelper;Java;31/08/2016 07:25;4;4689;13;126618961;142634899;13969585;3566842;4.5;1.5;3.5
testcontainers/testcontainers-java;https://github.com/testcontainers/testcontainers-java;Java;12/04/2015 12:44;5;4686;49;126657255;142684053;13978541;3569050;5.0;1.0;3.0
square/sqlbrite;https://github.com/square/sqlbrite;Java;19/02/2015 04:38;6;4669;9;126663592;142691740;13979595;3569431;2.0;1.0;2.0
journeyapps/zxing-android-embedded;https://github.com/journeyapps/zxing-android-embedded;Java;28/11/2012 16:36;8;4665;6;126673029;142703224;13981361;3569826;4.0;1.0;6.0
languagetool-org/languagetool;https://github.com/languagetool-org/languagetool;Java;08/08/2013 16:37;7;4663;0;130909243;147003201;14024564;3617001;4.0;1.0;4.0
apache/beam;https://github.com/apache/beam;Java;02/02/2016 08:00;5;4652;11;132571021;148937933;14215603;3699315;6.0;1.0;3.0
h2pl/Java-Tutorial;https://github.com/h2pl/Java-Tutorial;Java;01/05/2018 15:57;2;4651;0;132631676;149035670;14248857;3706766;0.0;1.0;0.5
mcxiaoke/packer-ng-plugin;https://github.com/mcxiaoke/packer-ng-plugin;Java;24/11/2015 04:08;5;4634;1;132637158;149042867;14250039;3707352;2.0;1.0;6.0
mybatis/generator;https://github.com/mybatis/generator;Java;10/02/2013 11:14;8;4629;9;132761434;149188868;14270864;3708404;5.0;2.0;5.0
socketio/socket.io-client-java;https://github.com/socketio/socket.io-client-java;Java;28/04/2013 17:04;7;4620;2;132767212;149196029;14272009;3708680;1.0;1.0;1.0
DingMouRen/LayoutManagerGroup;https://github.com/DingMouRen/LayoutManagerGroup;Java;28/04/2018 11:47;2;4612;0;132772408;149202327;14272862;3708966;3.0;2.0;3.0
hongyangAndroid/baseAdapter;https://github.com/hongyangAndroid/baseAdapter;Java;03/08/2015 02:55;5;4606;0;132775958;149206888;14273577;3709270;3.0;1.0;3.0
JodaOrg/joda-time;https://github.com/JodaOrg/joda-time;Java;16/05/2011 16:49;9;4600;32;132921690;149384323;14292655;3722799;6.0;2.0;14.0
