Name;URL;Primary Language;Created At;Repository Age;Amount of stars;Total amount of release(s);Total Source LOC;Total Line LOC;Total Blank LOC;Total Comments LOC;CBO;DIT;WMC;LOC
alibaba/transmittable-thread-local;https://github.com/alibaba/transmittable-thread-local;Java;13/10/2013 08:48;7;3662;43;34412374;39244066;4102978;1050597;4.0;1.0;8.0;26.0
oldmanpushcart/greys-anatomy;https://github.com/oldmanpushcart/greys-anatomy;Java;21/11/2012 19:39;8;3655;0;34427538;39262967;4106354;1050957;3.0;1.0;3.0;19.5
apache/camel;https://github.com/apache/camel;Java;21/05/2009 00:25;11;3653;0;37406913;42697097;4543147;1072584;4.0;1.0;2.0;21.0
microsoft/malmo;https://github.com/microsoft/malmo;Java;17/05/2016 14:58;4;3650;21;37471110;42781344;4553434;1082900;5.0;2.0;8.0;32.5
CalebFenton/simplify;https://github.com/CalebFenton/simplify;Java;16/01/2014 05:14;7;3629;9;37529370;42851295;4563299;1084885;7.0;1.0;5.0;36.0
zzhoujay/RichText;https://github.com/zzhoujay/RichText;Java;21/07/2015 09:36;5;3627;0;37536577;42860356;4564765;1085288;2.0;1.0;2.0;11.5
apache/hive;https://github.com/apache/hive;Java;21/05/2009 02:31;11;3627;0;42810359;48700608;5024205;1217730;4.0;1.0;6.0;30.0
brianway/java-learning;https://github.com/brianway/java-learning;Java;09/02/2016 05:20;5;3622;0;42830571;48725189;5028249;1218176;1.0;1.0;2.0;12.0
lzyzsd/CircleProgress;https://github.com/lzyzsd/CircleProgress;Java;30/10/2014 16:14;6;3616;0;42833553;48729001;5028818;1218453;6.0;2.0;4.0;23.0
rockerhieu/emojicon;https://github.com/rockerhieu/emojicon;Java;18/01/2014 12:32;7;3614;2;42839493;48735749;5029401;1218691;4.0;1.0;3.0;13.0
amirzaidi/Launcher3;https://github.com/amirzaidi/Launcher3;Java;30/05/2017 12:53;3;3611;22;42940072;48849917;5042609;1219314;3.0;1.0;3.0;15.0
ZHENFENG13/spring-boot-projects;https://github.com/ZHENFENG13/spring-boot-projects;Java;01/04/2017 01:50;3;3609;0;43242223;49217581;5107593;1224932;3.0;1.0;4.0;10.0
databricks/learning-spark;https://github.com/databricks/learning-spark;Java;16/06/2014 04:47;6;3606;0;43248026;49224553;5108327;1225374;2.0;1.0;1.0;7.0
nytimes/Store;https://github.com/nytimes/Store;Java;29/11/2016 20:17;4;3602;0;43265831;49246405;5112083;1225894;5.0;1.0;3.0;14.0
javaparser/javaparser;https://github.com/javaparser/javaparser;Java;30/10/2011 14:03;9;3601;23;43557510;49576096;5149533;1227783;6.0;1.0;5.0;24.0
dreamhead/moco;https://github.com/dreamhead/moco;Java;18/10/2012 09:09;8;3600;0;43585656;49610930;5155706;1228473;5.0;1.0;3.0;15.0
yangfuhai/ASimpleCache;https://github.com/yangfuhai/ASimpleCache;Java;28/07/2013 13:50;7;3598;0;43588995;49614941;5156166;1228690;2.0;1.0;5.0;30.0
ronmamo/reflections;https://github.com/ronmamo/reflections;Java;16/04/2013 16:19;7;3590;0;43594936;49622093;5157193;1228980;1.0;1.0;0.0;6.0
johncarl81/parceler;https://github.com/johncarl81/parceler;Java;03/07/2013 02:53;7;3589;0;43610249;49640874;5160430;1229226;3.0;1.0;2.0;9.0
azkaban/azkaban;https://github.com/azkaban/azkaban;Java;18/10/2012 01:34;8;3589;47;43823293;49887345;5191800;1232417;4.0;1.0;6.0;35.0
chewiebug/GCViewer;https://github.com/chewiebug/GCViewer;Java;23/10/2011 09:01;9;3587;5;43950632;50023425;5200265;1233528;4.0;1.0;6.0;36.0
litesuits/android-common;https://github.com/litesuits/android-common;Java;29/05/2014 08:08;6;3587;0;43963665;50038094;5201662;1233881;2.0;1.0;8.0;35.0
ryanhoo/StylishMusicPlayer;https://github.com/ryanhoo/StylishMusicPlayer;Java;13/09/2016 14:38;4;3580;0;43973906;50050259;5203353;1234158;3.0;1.0;3.0;12.5
