Name;URL;Primary Language;Created At;Repository Age;Amount of stars;Total amount of release(s);Total Source LOC;Total Line LOC;Total Blank LOC;Total Comments LOC;CBO;DIT;WMC;LOC
trinodb/trino;https://github.com/trinodb/trino;Java;19/01/2019 06:38;2;2846;0;19017599;21186659;1926978;378537;6.0;1.0;5.0;26.0
jeremylong/DependencyCheck;https://github.com/jeremylong/DependencyCheck;Java;03/09/2012 20:43;8;2846;10;19253431;21455089;1952225;386693;5.0;2.0;7.0;40.0
openaphid/android-flip;https://github.com/openaphid/android-flip;Java;22/05/2012 07:48;8;2845;0;19260501;21464297;1953921;387165;4.0;1.0;4.5;25.0
lenve/JavaEETest;https://github.com/lenve/JavaEETest;Java;13/12/2016 02:13;4;2845;0;19536414;21773566;1984576;395961;3.0;1.0;2.0;9.5
SpecialCyCi/AndroidResideMenu;https://github.com/SpecialCyCi/AndroidResideMenu;Java;14/12/2013 15:25;7;2844;7;19537793;21775652;1984893;396358;4.5;1.5;2.0;6.5
yusugomori/DeepLearning;https://github.com/yusugomori/DeepLearning;Java;01/01/2013 16:23;8;2842;0;19545264;21785824;1987088;396883;4.0;1.0;22.0;84.0
ZieIony/Carbon;https://github.com/ZieIony/Carbon;Java;04/02/2015 23:11;6;2842;2;19608331;21860501;1998103;398091;3.0;1.0;3.0;14.0
yarolegovich/SlidingRootNav;https://github.com/yarolegovich/SlidingRootNav;Java;26/03/2017 22:58;3;2840;1;19610621;21863714;1998679;398453;3.0;1.0;3.0;12.0
jiangqqlmj/FastDev4Android;https://github.com/jiangqqlmj/FastDev4Android;Java;22/10/2015 05:22;5;2837;4;19624241;21879855;2000798;398937;3.0;1.0;2.0;15.0
nanchen2251/RxJava2Examples;https://github.com/nanchen2251/RxJava2Examples;Java;19/06/2017 05:38;3;2837;0;19626284;21882621;2001183;399290;2.0;1.0;2.0;11.5
JackyAndroid/AndroidChromium;https://github.com/JackyAndroid/AndroidChromium;Java;04/07/2016 07:28;4;2836;2;19841449;22130743;2033689;400654;3.0;1.0;3.0;13.0
spockframework/spock;https://github.com/spockframework/spock;Java;12/12/2010 19:02;10;2828;10;19913520;22224955;2048842;407886;4.0;1.0;4.0;16.0
JulienGenoud/android-percent-support-lib-sample;https://github.com/JulienGenoud/android-percent-support-lib-sample;Java;26/06/2015 12:44;5;2824;2;19915182;22227310;2049182;408252;5.0;2.0;4.5;21.5
jprante/elasticsearch-jdbc;https://github.com/jprante/elasticsearch-jdbc;Java;02/06/2012 23:17;8;2823;19;19938513;22253390;2051440;408759;3.0;1.0;5.0;22.0
sunfusheng/StickyHeaderListView;https://github.com/sunfusheng/StickyHeaderListView;Java;22/04/2016 11:39;4;2821;0;19940637;22256328;2051920;409121;4.0;1.0;2.0;10.0
bin456789/Unblock163MusicClient-Xposed;https://github.com/bin456789/Unblock163MusicClient-Xposed;Java;14/01/2016 11:22;5;2819;13;19942893;22259471;2052467;409470;4.0;1.0;4.0;28.0
w446108264/XhsEmoticonsKeyboard;https://github.com/w446108264/XhsEmoticonsKeyboard;Java;06/03/2015 02:39;6;2819;7;19950081;22268388;2053770;409931;3.0;1.0;3.0;18.0
MindorksOpenSource/PRDownloader;https://github.com/MindorksOpenSource/PRDownloader;Java;11/11/2017 19:29;3;2814;5;19956521;22276289;2054847;410329;1.0;1.0;1.0;9.0
florent37/ShapeOfView;https://github.com/florent37/ShapeOfView;Java;18/02/2018 12:14;3;2808;0;19961982;22283256;2055962;410736;4.0;2.0;4.0;19.0
bmelnychuk/AndroidTreeView;https://github.com/bmelnychuk/AndroidTreeView;Java;11/02/2015 02:48;6;2807;0;19966576;22289049;2056776;411572;4.0;1.0;3.0;13.0
square/flow;https://github.com/square/flow;Java;12/09/2013 22:20;7;2806;0;19973622;22297618;2057970;411978;3.0;1.0;2.0;11.0
iwgang/CountdownView;https://github.com/iwgang/CountdownView;Java;12/10/2015 07:46;5;2806;3;19976848;22301815;2058577;412358;3.0;1.0;2.0;13.0
fuzhengwei/itstack-demo-design;https://github.com/fuzhengwei/itstack-demo-design;Java;20/05/2020 13:45;0;2803;0;19979642;22305595;2059280;412649;2.0;1.0;3.0;12.0
liujingxing/okhttp-RxHttp;https://github.com/liujingxing/okhttp-RxHttp;Java;23/01/2019 09:48;2;2802;12;19984182;22311324;2060139;412991;6.0;1.0;8.0;32.0
java8/Java8InAction;https://github.com/java8/Java8InAction;Java;28/10/2013 23:59;7;2799;0;19988748;22317323;2061285;413283;1.0;1.0;2.0;14.0
micrometer-metrics/micrometer;https://github.com/micrometer-metrics/micrometer;Java;10/04/2017 21:36;3;2799;94;20063796;22404774;2072981;414177;5.0;1.0;4.0;19.0
nic-delhi/AarogyaSetu_Android;https://github.com/nic-delhi/AarogyaSetu_Android;Java;26/05/2020 17:36;0;2799;0;20076508;22420088;2075165;414617;3.0;1.0;4.0;16.5
remkop/picocli;https://github.com/remkop/picocli;Java;01/02/2017 16:38;4;2797;76;20425090;22797061;2099205;427830;2.0;1.0;0.0;5.0
ltsopensource/light-task-scheduler;https://github.com/ltsopensource/light-task-scheduler;Java;24/10/2014 12:53;6;2796;29;20498781;22880976;2109053;428998;3.0;1.0;4.0;20.0
mzule/ActivityRouter;https://github.com/mzule/ActivityRouter;Java;08/04/2016 02:27;4;2795;3;20501206;22884306;2109579;429391;2.0;1.0;1.0;6.0
huanghongxun/HMCL;https://github.com/huanghongxun/HMCL;Java;22/06/2015 08:06;5;2794;164;20553856;22945959;2118192;429947;4.0;1.0;5.0;27.0
android-notes/Cockroach;https://github.com/android-notes/Cockroach;Java;14/02/2017 03:43;4;2787;1;20555539;22948404;2118592;430323;3.0;1.0;1.0;10.0
mxdldev/android-mvp-mvvm-flytour;https://github.com/mxdldev/android-mvp-mvvm-flytour;Java;25/12/2018 10:42;2;2785;11;20573894;22968619;2119970;430976;1.0;1.0;1.0;11.0
guolindev/booksource;https://github.com/guolindev/booksource;Java;04/10/2016 02:55;4;2784;0;20589005;22989020;2123182;433339;2.0;1.0;1.0;7.0
FasterXML/jackson-databind;https://github.com/FasterXML/jackson-databind;Java;23/12/2011 07:17;9;2777;0;28139728;30646295;2229292;451741;3.0;1.0;2.0;13.0
florent37/ExpectAnim;https://github.com/florent37/ExpectAnim;Java;20/02/2017 15:05;4;2776;1;28144185;30652305;2230471;452128;4.0;2.0;3.0;13.0
alibaba/jetcache;https://github.com/alibaba/jetcache;Java;12/04/2017 07:48;3;2774;47;28164361;30676321;2234021;452441;3.0;1.0;3.0;16.0
gouthampradhan/leetcode;https://github.com/gouthampradhan/leetcode;Java;09/03/2017 10:30;4;2773;0;28194891;30709693;2236560;452903;2.0;1.0;7.0;28.0
CrawlScript/WebCollector;https://github.com/CrawlScript/WebCollector;Java;12/07/2014 03:16;6;2772;0;28199054;30715025;2237424;453216;3.0;1.0;5.0;24.0
AweiLoveAndroid/CommonDevKnowledge;https://github.com/AweiLoveAndroid/CommonDevKnowledge;Java;15/12/2017 03:00;3;2770;0;28199938;30716410;2237627;453519;2.0;1.0;9.0;28.5
JakeWharton/scalpel;https://github.com/JakeWharton/scalpel;Java;06/01/2014 17:26;7;2768;0;28201699;30718838;2237986;453837;2.0;1.0;2.0;11.0
