Name;URL;Primary Language;Created At;Repository Age;Amount of stars;Total amount of release(s);Total Source LOC;Total Line LOC;Total Blank LOC;Total Comments LOC;CBO;DIT;WMC;LOC
kaushikgopal/RxJava-Android-Samples;https://github.com/kaushikgopal/RxJava-Android-Samples;Java;23/07/14 05:13:52;6;7453;0;87784469;99577277;10380951;2570676;3.0;1.0;3.0;13.5
apache/pulsar;https://github.com/apache/pulsar;Java;28/06/16 07:00:03;4;7449;45;88868846;100914588;10589064;2627808;4.0;1.0;3.0;15.0
huanghaibin-dev/CalendarView;https://github.com/huanghaibin-dev/CalendarView;Java;11/03/17 07:16:09;4;7445;0;88892397;100942363;10592965;2628143;4.0;1.0;7.0;28.5
termux/termux-app;https://github.com/termux/termux-app;Java;23/10/15 09:42:46;5;7364;79;88906343;100958680;10595002;2628577;3.0;1.0;7.0;38.0
shwenzhang/AndResGuard;https://github.com/shwenzhang/AndResGuard;Java;11/10/15 11:48:06;5;7350;4;88917118;100971559;10596703;2629022;2.0;1.0;8.0;40.0
google/agera;https://github.com/google/agera;Java;17/12/15 13:22:58;5;7306;16;88938327;100996046;10599734;2629514;4.0;1.0;3.0;13.0
dropwizard/metrics;https://github.com/dropwizard/metrics;Java;26/02/10 19:44:42;11;7292;54;88974835;101040077;10606675;2630629;4.0;1.0;4.0;20.0
jwtk/jjwt;https://github.com/jwtk/jjwt;Java;13/09/14 01:06:24;6;7280;0;89001249;101071859;10611607;2631497;3.0;1.0;2.0;8.0
square/dagger;https://github.com/square/dagger;Java;02/08/12 23:25:32;8;7266;0;89016753;101089587;10613626;2631793;3.0;1.0;1.0;5.0
aritraroy/UltimateAndroidReference;https://github.com/aritraroy/UltimateAndroidReference;Java;10/04/17 07:28:27;3;7262;0;89017791;101091088;10613867;2632060;1.0;1.0;6.0;22.0
cymcsg/UltimateRecyclerView;https://github.com/cymcsg/UltimateRecyclerView;Java;28/01/15 02:27:45;6;7211;9;89042195;101120185;10618281;2632423;3.0;1.0;3.0;13.0
Bearded-Hen/Android-Bootstrap;https://github.com/Bearded-Hen/Android-Bootstrap;Java;01/11/13 15:36:17;7;7206;5;89061040;101141235;10620249;2632703;3.0;1.0;4.0;23.0
quarkusio/quarkus;https://github.com/quarkusio/quarkus;Java;06/07/18 00:44:20;2;7205;107;89779800;101993599;10751156;2639198;3.0;1.0;2.0;11.0
JakeWharton/ActionBarSherlock;https://github.com/JakeWharton/ActionBarSherlock;Java;07/03/11 17:28:54;10;7182;32;89827988;102049444;10758451;2640130;4.0;1.0;3.0;18.0
airbnb/epoxy;https://github.com/airbnb/epoxy;Java;08/08/16 23:05:11;4;7177;60;89898273;102132229;10770250;2641732;4.0;2.0;2.0;9.0
pedant/sweet-alert-dialog;https://github.com/pedant/sweet-alert-dialog;Java;19/10/14 09:24:09;6;7141;2;89900698;102135274;10770663;2641968;1.5;1.0;5.5;23.0
lecho/hellocharts-android;https://github.com/lecho/hellocharts-android;Java;12/10/14 09:12:37;6;7138;14;89914386;102151896;10773321;2642348;4.0;1.0;4.0;41.0
square/moshi;https://github.com/square/moshi;Java;09/08/14 15:58:42;6;7117;0;89944043;102186493;10777330;2643412;3.0;1.0;2.0;11.0
geeeeeeeeek/WeChatLuckyMoney;https://github.com/geeeeeeeeek/WeChatLuckyMoney;Java;30/09/15 16:11:20;5;7109;20;89947040;102190192;10777776;2643687;3.0;1.0;4.0;21.0
crazycodeboy/TakePhoto;https://github.com/crazycodeboy/TakePhoto;Java;04/08/15 02:05:32;5;7105;15;89952407;102196948;10778745;2644129;2.0;1.0;7.0;28.0
facebook/litho;https://github.com/facebook/litho;Java;27/01/17 03:59:11;4;7069;46;91089123;103387101;10827396;2649769;5.0;1.0;2.0;11.0
MindorksOpenSource/android-interview-questions;https://github.com/MindorksOpenSource/android-interview-questions;Java;09/07/17 18:47:24;3;7011;0;91090478;103389211;10827929;2650007;0.0;1.0;1.0;5.0
vipshop/vjtools;https://github.com/vipshop/vjtools;Java;29/05/18 09:07:08;2;7002;9;91120493;103426373;10834627;2650609;2.0;1.0;4.0;26.0
koush/AndroidAsync;https://github.com/koush/AndroidAsync;Java;24/08/12 07:27:04;8;6958;0;91141408;103450974;10838008;2651036;2.0;1.0;2.0;8.0
react-native-image-picker/react-native-image-picker;https://github.com/react-native-image-picker/react-native-image-picker;Java;08/06/15 20:25:31;5;6957;65;91157195;103470398;10840427;2651475;2.5;1.0;2.5;12.0
leolin310148/ShortcutBadger;https://github.com/leolin310148/ShortcutBadger;Java;15/11/13 12:51:52;7;6950;0;91159634;103473568;10840949;2651688;5.0;1.0;2.0;16.0
hongyangAndroid/okhttputils;https://github.com/hongyangAndroid/okhttputils;Java;17/08/15 14:53:29;5;6865;0;91164170;103479315;10841860;2651999;2.5;1.0;3.0;12.0
ogaclejapan/SmartTabLayout;https://github.com/ogaclejapan/SmartTabLayout;Java;14/02/15 11:25:51;6;6864;0;91168779;103485189;10842815;2652368;4.0;1.0;4.0;27.0
apache/shardingsphere-elasticjob;https://github.com/apache/shardingsphere-elasticjob;Java;11/09/15 11:28:52;5;6854;25;91243677;103574916;10854965;2655693;4.0;1.0;3.0;14.0
google/tsunami-security-scanner;https://github.com/google/tsunami-security-scanner;Java;03/06/20 16:20:00;0;6851;3;91258176;103591858;10857086;2656050;5.0;1.0;3.0;13.0
OpenFeign/feign;https://github.com/OpenFeign/feign;Java;26/06/13 23:28:16;7;6771;14;91297441;103638714;10864158;2656859;3.0;1.0;2.0;10.0
hongyangAndroid/AndroidAutoLayout;https://github.com/hongyangAndroid/AndroidAutoLayout;Java;19/11/15 02:09:11;5;6722;0;91302932;103645712;10865348;2657205;5.0;2.0;5.5;27.0
google/android-classyshark;https://github.com/google/android-classyshark;Java;12/10/15 13:40:48;5;6719;17;91316263;103662037;10868087;2657488;2.0;1.0;4.0;16.5
swagger-api/swagger-core;https://github.com/swagger-api/swagger-core;Java;05/07/11 23:44:11;9;6704;63;91390431;103746224;10877576;2658050;3.0;1.0;1.0;8.0
