Name;URL;Primary Language;Created At;Repository Age;Amount of stars;Total amount of release(s);Total Source LOC;Total Line LOC;Total Blank LOC;Total Comments LOC;CBO;DIT;WMC;LOC
OpenTSDB/opentsdb;https://github.com/OpenTSDB/opentsdb;Java;27/08/2010 02:05;10;4378;25;10216649;11769939;1292485;339490;4.0;1.0;6.0;23.0
pili-engineering/PLDroidPlayer;https://github.com/pili-engineering/PLDroidPlayer;Java;02/06/2015 04:41;5;4377;37;10220037;11774245;1293058;339849;1.0;1.0;2.5;10.0
mcxiaoke/android-volley;https://github.com/mcxiaoke/android-volley;Java;21/05/2013 05:35;7;4373;0;10229263;11785330;1294566;340260;3.0;1.0;4.0;20.0
jgilfelt/chuck;https://github.com/jgilfelt/chuck;Java;07/02/2017 23:51;4;4366;5;10233524;11790618;1295260;340616;4.0;1.0;3.0;17.5
Meituan-Dianping/Leaf;https://github.com/Meituan-Dianping/Leaf;Java;11/12/2018 07:41;2;4351;0;10235234;11792968;1295588;340943;1.5;1.0;3.0;9.5
alibaba/dexposed;https://github.com/alibaba/dexposed;Java;30/06/2015 02:59;5;4347;0;10242690;11802138;1296776;341525;2.0;1.0;3.0;19.0
castorflex/SmoothProgressBar;https://github.com/castorflex/SmoothProgressBar;Java;27/11/2013 20:32;7;4342;9;10246442;11806995;1297551;341886;3.0;1.0;3.0;12.5
spring-projects/spring-security-oauth;https://github.com/spring-projects/spring-security-oauth;Java;26/07/2011 18:08;9;4339;0;10321685;11894959;1309791;342497;4.0;1.0;2.0;12.5
tomakehurst/wiremock;https://github.com/tomakehurst/wiremock;Java;09/10/2011 20:27;9;4332;1;10409399;11999208;1325397;344496;4.0;1.0;3.0;13.0
MindorksOpenSource/android-mvp-architecture;https://github.com/MindorksOpenSource/android-mvp-architecture;Java;27/01/2017 08:39;4;4303;0;10420189;12012495;1327543;344889;3.0;1.0;3.5;12.0
doocs/jvm;https://github.com/doocs/jvm;Java;23/06/2018 01:12;2;4294;0;10420738;12013459;1327668;345184;nan;nan;nan;nan
spring-cloud/spring-cloud-netflix;https://github.com/spring-cloud/spring-cloud-netflix;Java;11/07/2014 15:46;6;4288;2;10448701;12045357;1331136;345838;6.0;1.0;2.0;15.0
alibaba/COLA;https://github.com/alibaba/COLA;Java;06/02/2018 13:46;3;4288;3;10461914;12061589;1333256;346743;3.0;1.0;1.0;8.0
aporter/coursera-android;https://github.com/aporter/coursera-android;Java;05/01/2014 09:55;7;4286;0;10556994;12183067;1352429;356978;4.0;1.0;2.0;14.0
jOOQ/jOOQ;https://github.com/jOOQ/jOOQ;Java;17/04/2011 10:43;9;4278;0;12665148;14391103;1451867;373713;8.0;1.0;6.0;19.0
